Opponent,Rank,Points,Win,Draw,Lose,WinRate,DrawRate,LoseRate,Result
Turkey,38,1498.5,11,3,3,0.65,0.18,0.18,1
Russia,39,1497.63,1,3,1,0.2,0.6,0.2,0
Nigeria,40,1490.48,0,0,1,0,0,1,0
Czech Republic,41,1489.72,4,0,5,0.44,0,0.56,0
Norway,42,1469.56,12,3,4,0.63,0.16,0.21,1
Camerun,43,1466.98,0,2,1,0,0.67,0.33,0
Panama,44,1461.09,0,0,0,0,0,0,1
Canada,45,1454.95,6,0,0,1,0,0,1
Costa Rica,46,1452.1,3,0,0,1,0,0,1
Mali,47,1449.75,0,0,0,0,0,0,1
Romania,48,1446.52,6,15,14,0.17,0.43,0.4,0
Venezuela,49,1445.67,0,0,0,0,0,0,1
Slovakia,50,1445.34,3,1,5,0.33,0.11,0.56,0
Greece,51,1442.96,10,4,3,0.59,0.24,0.18,1
Ivory Coast,52,1439.17,1,0,0,1,0,0,1
Paraguay,53,1436.96,0,0,1,0,0,1,1
Slovenia,54,1428.1,3,3,2,0.38,0.38,0.25,0
Jamaica,55,1421.39,0,0,0,0,0,0,1
Burkina Faso,56,1410.59,0,0,0,0,0,0,1
Saudi Arabia,57,1408.85,4,0,0,1,0,0,1
Ireland,58,1406.94,11,11,6,0.39,0.39,0.21,1
Albania,59,1396.83,10,3,2,0.67,0.2,0.13,1
Ghana,60,1394.74,0,0,0,0,0,0,1
Qatar,61,1394.16,0,0,0,0,0,0,1
Finland,62,1388.46,20,8,3,0.65,0.26,0.1,1
Bosnia and Herzegovina,63,1368.3,2,1,0,0.67,0.33,0,1
South Africa,64,1366.35,1,0,1,0.5,0,0.5,1
Congo,65,1366.18,0,0,0,0,0,0,1
North Macedonia,66,1358.41,4,1,0,0.8,0.2,0,1
Iceland,67,1353.17,5,2,0,0.71,0.29,0,1
Iraq,68,1349.73,2,2,1,0.4,0.4,0.2,1
United Arab Emirates,69,1348.87,2,0,0,1,0,0,1
Montenegro,70,1344.3,2,2,0,0.5,0.5,0,1
Israel,71,1336.34,7,4,2,0.54,0.31,0.15,1
Oman,72,1334.37,0,0,0,0,0,0,1
Uzbekistan,73,1333.09,0,0,0,0,0,0,1
Cabo Verde,74,1326.93,0,0,0,0,0,0,1
North Ireland,75,1325.06,4,2,4,0.4,0.2,0.4,1
Georgia,76,1312.14,4,0,1,0.8,0,0.2,1
El Salvador,77,1307,0,0,0,0,0,0,1
Honduras,78,1305.07,0,0,0,0,0,0,1
China,79,1296.99,2,0,0,1,0,0,1
Guinea,80,1296.89,0,0,0,0,0,0,1
Zambia,81,1291.34,0,0,0,0,0,0,1
Jordan,82,1284.39,0,0,0,0,0,0,1
Bahrain,83,1281.46,0,0,0,0,0,0,1
Bulgaria,84,1279.12,11,8,4,0.48,0.35,0.17,1
Bolivia,85,1271.09,2,0,0,1.00,0.00,0.00,1
Gabon,86,1270.8,0,0,0,0,0,0,1
Luxemburg,87,1266.67,6,1,0,0.86,0.14,0.00,1
Haiti,88,1262.5,2,0,1,0.67,0.00,0.33,1
Curacao,89,1261.62,0,0,0,0,0,0,1
Uganda,90,1251.94,0,0,0,0,0,0,1
Equatorial Guinea,91,1250.46,0,0,0,0,0,0,1
Syria,92,1239.37,0,0,0,0,0,0,1
Benin,93,1238.89,0,0,0,0,0,0,1
Vietnam,94,1236.25,0,0,0,0,0,0,1
Armenia,95,1234.25,5,1,1,0.71,0.14,0.14,1
Palestine,96,1224.05,0,0,0,0,0,0,1
Kyrgyz Republic,97,1244.03,0,0,0,0,0,0,1
Kazakhstan,98,1219.65,4,1,0,0.80,0.20,0.00,1
Trinidad and Tobago,99,1217.43,0,0,0,0,0,0,1
Belarus,100,1212.52,2,2,2,0.33,0.33,0.33,1
Mauritania,101,1208.99,0,0,0,0,0,0,1
India,102,1198.84,1,0,0,1.00,0.00,0.00,1
New Zealand,103,1198.41,1,1,0,0.50,0.50,0.00,1
Lebanon,104,1198.25,0,0,0,0,0,0,1
Kosovo,105,1190.74,0,0,0,0,0,0,1
Congo,106,1189.9,0,0,0,0,0,0,1
Guatemala,107,1188.93,1,1,0,0.50,0.50,0.00,1
Madagascar,108,1188.57,0,0,0,0,0,0,1
Tajikistan,109,1187.23,0,0,0,0,0,0,1
Kenya,110,1186.85,0,0,0,0,0,0,1
Guinea-Bissau,111,1186.85,0,0,0,0,0,0,1
Thailand,112,1177.15,1,0,0,1.00,0.00,0.00,1
Mozambique,113,1176.68,0,0,0,0,0,0,1
Namibia,114,1172.41,0,0,0,0,0,0,1
North Korea,115,1169.96,0,1,0,0.00,1.00,0.00,1
Angola,116,1169.64,0,0,0,0,0,0,1
Gambia,117,1160.55,0,0,0,0,0,0,1
Estonia,118,1159.33,7,1,1,0.78,0.11,0.11,1
Togo,119,1158.24,0,0,0,0,0,0,1
Azerbaijan,120,1155.91,5,1,0,0.83,0.17,0.00,1
Tanzania,121,1146.46,0,0,0,0,0,0,1
Sierra Leone,122,1145.12,0,0,0,0,0,0,1
Malawi,123,1144.29,0,0,0,0,0,0,1
Cyprus,124,1141.27,4,3,0,0.57,0.43,0.00,1
Zimbabwe,125,1138.56,0,0,0,0,0,0,1
Libya,126,1137.64,1,0,0,1.00,0.00,0.00,1
Cetral African Republic,127,1126.72,0,0,0,0,0,0,1
Comoros,128,1125.57,0,0,0,0,0,0,1
Niger,129,1122.81,0,0,0,0,0,0,1
Sudan,130,1109.22,0,0,0,0,0,0,1
Solomos Islands,131,1107.61,0,0,0,0,0,0,1
Latvia,132,1101.7,11,2,2,0.73,0.13,0.13,1
Nicaragua,133,1099.7,0,0,0,0,0,0,1
Lithuania,134,1098.48,5,4,2,0.45,0.36,0.18,1
Faroe Islands,135,1097.66,5,0,0,1.00,0.00,0.00,1
Kuwait,136,1097.05,1,1,0,0.50,0.50,0.00,1
Malaysia,137,1096.72,0,0,0,0,0,0,1
Philippines,138,1095.94,0,0,0,0,0,0,1
Antigua and Barbuda,139,1090.07,0,0,0,0,0,0,1
Rwanda,140,1087.03,0,0,0,0,0,0,1
Turkmenistan,141,1086.12,0,0,0,0,0,0,1
Burundi,142,1080.43,0,0,0,0,0,0,1
Ethiopia,143,1072.54,0,0,0,0,0,0,1
Suriname,144,1071.85,0,0,0,0,0,0,1
Indonesia,145,1069.82,0,0,0,0,0,0,1
Eswatini,146,1063.13,0,0,0,0,0,0,1
St Kitts and Nevis,147,1058.06,0,0,0,0,0,0,1
Botswana,148,1055.85,0,0,0,0,0,0,1
Dominican Republic,149,1049.03,0,0,0,0,0,0,1
Hong Kong,150,1045.01,0,0,0,0,0,0,1
Liberia,151,1041.5,0,0,0,0,0,0,1
Chinese Taipei,152,1040.7,0,0,0,0,0,0,1
Lesotho,153,1034.18,0,0,0,0,0,0,1
Afghanistan,154,1033.8,0,0,0,0,0,0,1
Singapore,155,1032.89,1,0,0,1.00,0.00,0.00,1
Yemen,156,1023.59,0,0,0,0,0,0,1
Moldova,157,1018.45,5,2,1,0.63,0.25,0.13,1
Myanmar,158,1011.73,0,0,0,0,0,0,1
Andorra,159,1011.68,3,0,0,1.00,0.00,0.00,1
Guyana,160,1009.62,0,0,0,0,0,0,1
Maldives,161,1003.48,0,0,0,0,0,0,1
New Caledonia,162,999.02,0,0,0,0,0,0,1
Tahiti,163,995.11,0,0,0,0,0,0,1
Puerto Rico,164,993.05,0,0,0,0,0,0,1
Papua New Guinea,165,991.04,0,0,0,0,0,0,1
St Lucia,166,987.66,0,0,0,0,0,0,1
South Sudan,167,986.56,0,0,0,0,0,0,1
Vanuatu,168,985.23,0,0,0,0,0,0,1
Cuba,169,981.87,0,0,0,0,0,0,1
Fiji,170,980.48,0,0,0,0,0,0,1
Malta,171,968.25,4,0,0,1.00,0.00,0.00,1
Bermuda,172,965.02,0,0,0,0,0,0,1
Nepal,173,963.82,0,0,0,0,0,0,1
Barbados,174,956.99,0,0,0,0,0,0,1
St Vincent and the Grenadines,175,953.6,0,0,0,0,0,0,1
Grenada,176,950.99,0,0,0,0,0,0,1
Mauritius,177,942.64,0,0,0,0,0,0,1
Cambodia,178,931.47,0,0,0,0,0,0,1
Chad,179,930.22,0,0,0,0,0,0,1
Montserrat,180,929.2,0,0,0,0,0,0,1
Belize,181,925.89,0,0,0,0,0,0,1
Bhutan,182,913.02,0,0,0,0,0,0,1
Bangladesh,183,912.6,0,0,0,0,0,0,1
Dominica,184,909.92,0,0,0,0,0,0,1
Cook Islands,185,899.33,0,0,0,0,0,0,1
Sao Tome and Principe,186,897.69,0,0,0,0,0,0,1
Macau,187,896.62,0,0,0,0,0,0,1
Laos,188,889.62,0,0,0,0,0,0,1
Djibouti,189,889.2,0,0,0,0,0,0,1
Mongolia,190,889.16,0,0,0,0,0,0,1
Brunei Darussalam,191,870.63,0,0,0,0,0,0,1
Aruba,192,865.4,0,0,0,0,0,0,1
Pakistan,193,864.84,0,0,0,0,0,0,1
Cayman Islands,194,858.5,0,0,0,0,0,0,1
Seychelles,195,853.5,0,0,0,0,0,0,1
Somalia,196,852.06,0,0,0,0,0,0,1
Timor-Leste,197,843.4,0,0,0,0,0,0,1
Gibraltar,198,842.07,2,0,0,1.00,0.00,0.00,1
Bahamas,199,841.06,0,0,0,0,0,0,1
Liechtenstein,200,837.61,1,0,0,1.00,0.00,0.00,1
Turks and Caicos Islands,201,824.77,0,0,0,0,0,0,1
Sri Lanka,202,822.03,0,0,0,0,0,0,1
Guam,203,821.91,0,0,0,0,0,0,1
Britich Virgin Islands,204,813.7,0,0,0,0,0,0,1
US Virgin Islands,205,803.4,0,0,0,0,0,0,1
Anguilla,206,785.69,0,0,0,0,0,0,1
San Marino,207,746.98,10,0,0,1.00,0.00,0.00,1
